method,family,dim,bytes_per_embedding,compression,spearman
RandRot-32-s2 topm-8,Random rotation top-m int8,32,24,64.0,0.7481577279278766
RandRot-32-s2 topm-12,Random rotation top-m int8,32,36,42.666666666666664,0.778986946839875
RandRot-32-s2 topm-16,Random rotation top-m int8,32,48,32.0,0.795588576441749
RandRot-32-s2 topm-24,Random rotation top-m int8,32,72,21.333333333333332,0.8055586128640982
RandRot-32-s2 topm-32,Random rotation top-m int8,32,96,16.0,0.8074782547582586
RandRot-32-s3 topm-4,Random rotation top-m int8,32,12,128.0,0.6491241519200415
RandRot-32-s3 topm-8,Random rotation top-m int8,32,24,64.0,0.7394379185191562
RandRot-32-s3 topm-12,Random rotation top-m int8,32,36,42.666666666666664,0.7699798801257816
RandRot-32-s3 topm-16,Random rotation top-m int8,32,48,32.0,0.7844793474273924
RandRot-32-s3 topm-24,Random rotation top-m int8,32,72,21.333333333333332,0.8049445501627468
RandRot-32-s3 topm-32,Random rotation top-m int8,32,96,16.0,0.8076673936788209
RandRot-32-s4 topm-4,Random rotation top-m int8,32,12,128.0,0.6752036767102708
RandRot-32-s4 topm-8,Random rotation top-m int8,32,24,64.0,0.759154730972635
RandRot-32-s4 topm-12,Random rotation top-m int8,32,36,42.666666666666664,0.784411409658088
RandRot-32-s4 topm-16,Random rotation top-m int8,32,48,32.0,0.792742169855633
RandRot-32-s4 topm-24,Random rotation top-m int8,32,72,21.333333333333332,0.8050564933004983
RandRot-32-s4 topm-32,Random rotation top-m int8,32,96,16.0,0.8076596659154809
RandRot-32-s5 topm-4,Random rotation top-m int8,32,12,128.0,0.6608046482510325
RandRot-32-s5 topm-8,Random rotation top-m int8,32,24,64.0,0.7514393384715922
RandRot-32-s5 topm-12,Random rotation top-m int8,32,36,42.666666666666664,0.7784633130265526
RandRot-32-s5 topm-16,Random rotation top-m int8,32,48,32.0,0.7958427947712081
RandRot-32-s5 topm-24,Random rotation top-m int8,32,72,21.333333333333332,0.8053304408246185
RandRot-32-s5 topm-32,Random rotation top-m int8,32,96,16.0,0.8080589419917372
PCA-64 float32,PCA float32,64,256,6.0,0.8444633994991836
PCA-64 int8 dense,PCA int8 dense,64,64,24.0,0.8444002695623783
PCA-64 topm-4,PCA top-m int8,64,12,128.0,0.5907117210521695
PCA-64 topm-8,PCA top-m int8,64,24,64.0,0.6900003529456396
PCA-64 topm-12,PCA top-m int8,64,36,42.666666666666664,0.74392859029203
PCA-64 topm-16,PCA top-m int8,64,48,32.0,0.786668649649997
PCA-64 topm-24,PCA top-m int8,64,72,21.333333333333332,0.8208261874573539
PCA-64 topm-32,PCA top-m int8,64,96,16.0,0.8318605473854507
PCA-64 topm-48,PCA top-m int8,64,144,10.666666666666666,0.8421544850943891
PCA-64 topm-64,PCA top-m int8,64,192,8.0,0.8444002695623783
RandRot-64-s1 topm-4,Random rotation top-m int8,64,12,128.0,0.6597428191363767
RandRot-64-s1 topm-8,Random rotation top-m int8,64,24,64.0,0.7499619985773359
RandRot-64-s1 topm-12,Random rotation top-m int8,64,36,42.666666666666664,0.7885398228183481
RandRot-64-s1 topm-16,Random rotation top-m int8,64,48,32.0,0.8104597105524478
RandRot-64-s1 topm-24,Random rotation top-m int8,64,72,21.333333333333332,0.8303440267659299
RandRot-64-s1 topm-32,Random rotation top-m int8,64,96,16.0,0.8363278885467023
RandRot-64-s1 topm-48,Random rotation top-m int8,64,144,10.666666666666666,0.8426943075309834
RandRot-64-s1 topm-64,Random rotation top-m int8,64,192,8.0,0.8443959225842896
RandRot-64-s2 topm-4,Random rotation top-m int8,64,12,128.0,0.6623722326763468
RandRot-64-s2 topm-8,Random rotation top-m int8,64,24,64.0,0.7426807639407494
RandRot-64-s2 topm-12,Random rotation top-m int8,64,36,42.666666666666664,0.7871896890986327
RandRot-64-s2 topm-16,Random rotation top-m int8,64,48,32.0,0.8126133988714714
RandRot-64-s2 topm-24,Random rotation top-m int8,64,72,21.333333333333332,0.8312535967886516
RandRot-64-s2 topm-32,Random rotation top-m int8,64,96,16.0,0.83472782160618
RandRot-64-s2 topm-48,Random rotation top-m int8,64,144,10.666666666666666,0.8426891669580409
RandRot-64-s2 topm-64,Random rotation top-m int8,64,192,8.0,0.8443472819813272
RandRot-64-s3 topm-4,Random rotation top-m int8,64,12,128.0,0.6582731716267433
RandRot-64-s3 topm-8,Random rotation top-m int8,64,24,64.0,0.7434467189381339
RandRot-64-s3 topm-12,Random rotation top-m int8,64,36,42.666666666666664,0.7821554932183706
RandRot-64-s3 topm-16,Random rotation top-m int8,64,48,32.0,0.8001999470659266
RandRot-64-s3 topm-24,Random rotation top-m int8,64,72,21.333333333333332,0.8217003428648884
RandRot-64-s3 topm-32,Random rotation top-m int8,64,96,16.0,0.8305614237131108
RandRot-64-s3 topm-48,Random rotation top-m int8,64,144,10.666666666666666,0.8433631975322831
RandRot-64-s3 topm-64,Random rotation top-m int8,64,192,8.0,0.8442984456486924
RandRot-64-s4 topm-4,Random rotation top-m int8,64,12,128.0,0.6774114158680207
RandRot-64-s4 topm-8,Random rotation top-m int8,64,24,64.0,0.7608406805384591
RandRot-64-s4 topm-12,Random rotation top-m int8,64,36,42.666666666666664,0.7863564388493227
RandRot-64-s4 topm-16,Random rotation top-m int8,64,48,32.0,0.8088835973651113
RandRot-64-s4 topm-24,Random rotation top-m int8,64,72,21.333333333333332,0.8247269730674772
RandRot-64-s4 topm-32,Random rotation top-m int8,64,96,16.0,0.8372760422259444
RandRot-64-s4 topm-48,Random rotation top-m int8,64,144,10.666666666666666,0.8432101317303754
RandRot-64-s4 topm-64,Random rotation top-m int8,64,192,8.0,0.8444409510851151
RandRot-64-s5 topm-4,Random rotation top-m int8,64,12,128.0,0.6508563915677867
RandRot-64-s5 topm-8,Random rotation top-m int8,64,24,64.0,0.7399124371540193
RandRot-64-s5 topm-12,Random rotation top-m int8,64,36,42.666666666666664,0.7831412546979145
RandRot-64-s5 topm-16,Random rotation top-m int8,64,48,32.0,0.7998285295494907
RandRot-64-s5 topm-24,Random rotation top-m int8,64,72,21.333333333333332,0.8209239640552524
RandRot-64-s5 topm-32,Random rotation top-m int8,64,96,16.0,0.8314726894665402
RandRot-64-s5 topm-48,Random rotation top-m int8,64,144,10.666666666666666,0.8426164381194754
RandRot-64-s5 topm-64,Random rotation top-m int8,64,192,8.0,0.8444780721071742
PCA-96 float32,PCA float32,96,384,4.0,0.8559014394211667
PCA-96 int8 dense,PCA int8 dense,96,96,16.0,0.8559967366399572
PCA-96 topm-4,PCA top-m int8,96,12,128.0,0.5766259356663074
PCA-96 topm-8,PCA top-m int8,96,24,64.0,0.6810630699815613
PCA-96 topm-12,PCA top-m int8,96,36,42.666666666666664,0.7333783743550217
PCA-96 topm-16,PCA top-m int8,96,48,32.0,0.774617086861491
PCA-96 topm-24,PCA top-m int8,96,72,21.333333333333332,0.816435120370092
PCA-96 topm-32,PCA top-m int8,96,96,16.0,0.83605604494273
PCA-96 topm-48,PCA top-m int8,96,144,10.666666666666666,0.8493462320503731
PCA-96 topm-64,PCA top-m int8,96,192,8.0,0.8544995327597459
PCA-96 topm-96,PCA top-m int8,96,288,5.333333333333333,0.8559967366399572
RandRot-96-s1 topm-4,Random rotation top-m int8,96,12,128.0,0.6258540773307963
RandRot-96-s1 topm-8,Random rotation top-m int8,96,24,64.0,0.7337754811920439
RandRot-96-s1 topm-12,Random rotation top-m int8,96,36,42.666666666666664,0.7820963396714042
RandRot-96-s1 topm-16,Random rotation top-m int8,96,48,32.0,0.7987762404618947
RandRot-96-s1 topm-24,Random rotation top-m int8,96,72,21.333333333333332,0.8216503641827106
RandRot-96-s1 topm-32,Random rotation top-m int8,96,96,16.0,0.8353538202588291
RandRot-96-s1 topm-48,Random rotation top-m int8,96,144,10.666666666666666,0.847820613559805
RandRot-96-s1 topm-64,Random rotation top-m int8,96,192,8.0,0.8542916002319076
RandRot-96-s1 topm-96,Random rotation top-m int8,96,288,5.333333333333333,0.8559142241274985
RandRot-96-s2 topm-4,Random rotation top-m int8,96,12,128.0,0.6529721092680076
RandRot-96-s2 topm-8,Random rotation top-m int8,96,24,64.0,0.7560846528336026
RandRot-96-s2 topm-12,Random rotation top-m int8,96,36,42.666666666666664,0.788184208484033
RandRot-96-s2 topm-16,Random rotation top-m int8,96,48,32.0,0.8091477654477516
